iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,M,NR,ES	159 	190 	184 	146 	171 	163 	216 	207 	84 	75 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,FI	46 	49 	46 	34 	44 	50 	47 	67 	53 	64 	69 	67 	59 	86 
ICCS0101,PER_CNV,M,NR,FR	330 	252 	291 	258 	276 	276 	257 	247 	267 	272 	454 	577 	556 	581 
ICCS0101,PER_CNV,M,NR,HR	59 	51 	68 	52 	54 	61 	30 	45 	44 	41 	41 	31 	45 	42 
ICCS0101,PER_CNV,M,NR,HU	41 	37 	73 	74 	67 	92 	65 	125 	101 	124 	91 	120 	156 	109 
ICCS0101,PER_CNV,M,NR,IS	: 	0 	: 	: 	: 	1 	2 	: 	1 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,IT	: 	: 	: 	648 	566 	583 	489 	587 	513 	480 	436 	565 	577 	600 
ICCS0101,PER_CNV,M,NR,LT	70 	56 	85 	98 	135 	133 	120 	177 	151 	165 	199 	221 	201 	253 
ICCS0101,PER_CNV,M,NR,LU	4 	0 	1 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,LV	65 	62 	75 	90 	98 	94 	106 	109 	86 	77 	57 	65 	74 	97 
ICCS0101,PER_CNV,M,NR,ME	7 	8 	8 	6 	12 	10 	14 	18 	31 	6 	6 	4 	28 	: 
ICCS0101,PER_CNV,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	39 	31 	36 	37 	32 	52 	32 
ICCS0101,PER_CNV,M,NR,MT	1 	2 	7 	7 	1 	1 	3 	0 	2 	2 	3 	3 	4 	1 
ICCS0101,PER_CNV,M,NR,NL	634 	569 	541 	532 	505 	442 	488 	543 	642 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,NO	23 	23 	16 	22 	28 	24 	17 	24 	22 	24 	22 	27 	23 	17 
ICCS0101,PER_CNV,M,NR,PL	: 	: 	304 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,PT	64 	73 	56 	68 	57 	86 	96 	106 	115 	127 	128 	114 	149 	113 
ICCS0101,PER_CNV,M,NR,RO	438 	477 	643 	644 	715 	: 	785 	826 	773 	769 	937 	835 	702 	662 
ICCS0101,PER_CNV,M,NR,RS	96 	66 	72 	64 	85 	96 	78 	130 	116 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,SE	227 	194 	178 	161 	128 	156 	146 	129 	130 	121 	124 	149 	136 	138 
ICCS0101,PER_CNV,M,NR,SI	18 	15 	15 	33 	20 	18 	20 	33 	36 	22 	26 	15 	20 	27 
ICCS0101,PER_CNV,M,NR,SK	42 	35 	28 	32 	27 	29 	27 	40 	36 	39 	38 	59 	41 	45 
ICCS0101,PER_CNV,M,NR,TR	7303 	5655 	6943 	6511 	5077 	5572 	6326 	6143 	6967 	17279 	14819 	15390 	14512 	: 
ICCS0101,PER_CNV,M,NR,UKC-L	: 	: 	: 	: 	: 	271 	252 	322 	293 	324 	320 	328 	356 	415 
ICCS0101,PER_CNV,M,NR,UKM	: 	: 	: 	: 	27 	26 	25 	30 	43 	46 	49 	43 	48 	56 
ICCS0101,PER_CNV,M,NR,UKN	: 	: 	: 	16 	10 	9 	6 	7 	13 	8 	11 	14 	14 	10 
ICCS0101,PER_CNV,M,NR,XK	: 	: 	96 	117 	79 	66 	96 	78 	42 	57 	86 	73 	73 	54 
ICCS0101,PER_CNV,M,P_HTHAB,AL	6.81 	4.22 	5.11 	7.85 	6.40 	9.05 	11.16 	11.78 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,AT	0.75 	0.80 	0.71 	0.97 	0.51 	0.66 	0.50 	0.75 	0.68 	0.85 	0.64 	0.89 	0.42 	0.49 
ICCS0101,PER_CNV,M,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.44 	5.49 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,BE	: 	: 	1.28 	1.57 	1.47 	1.51 	1.34 	3.80 	4.14 	5.01 	3.94 	3.56 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,BG	1.49 	1.10 	1.62 	1.81 	2.14 	2.21 	2.66 	1.87 	1.83 	2.72 	2.98 	3.13 	2.94 	3.66 
